simulation_day,patients_treated,total_pfs_available,biomarker_group,group_pfs_count,mean_pfs,pfs_sd,lower_boundary,upper_boundary
396,396,127,Medium,64.0,211.640625,77.69095618293706,56.258712634125885,367.0225373658741
397,397,128,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
397,397,128,Low,42.0,176.28571428571428,39.54329872263562,97.19911684044304,255.37231173098553
397,397,128,Medium,65.0,212.7076923076923,77.56020304353159,57.587286220629125,367.82809839475544
398,398,129,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
398,398,129,Low,42.0,176.28571428571428,39.54329872263562,97.19911684044304,255.37231173098553
398,398,129,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
399,399,129,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
399,399,129,Low,42.0,176.28571428571428,39.54329872263562,97.19911684044304,255.37231173098553
399,399,129,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
400,400,129,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
400,400,129,Low,42.0,176.28571428571428,39.54329872263562,97.19911684044304,255.37231173098553
400,400,129,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
401,401,129,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
401,401,129,Low,42.0,176.28571428571428,39.54329872263562,97.19911684044304,255.37231173098553
401,401,129,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
402,402,129,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
402,402,129,Low,42.0,176.28571428571428,39.54329872263562,97.19911684044304,255.37231173098553
402,402,129,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
403,403,130,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
403,403,130,Low,43.0,177.1860465116279,39.513262278664705,98.15952195429848,256.2125710689573
403,403,130,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
404,404,130,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
404,404,130,Low,43.0,177.1860465116279,39.513262278664705,98.15952195429848,256.2125710689573
404,404,130,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
405,405,130,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
405,405,130,Low,43.0,177.1860465116279,39.513262278664705,98.15952195429848,256.2125710689573
405,405,130,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
406,406,130,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
406,406,130,Low,43.0,177.1860465116279,39.513262278664705,98.15952195429848,256.2125710689573
406,406,130,Medium,66.0,214.53030303030303,78.37272282486862,57.784857380565796,371.27574868004024
407,407,132,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
407,407,132,Low,44.0,179.70454545454547,42.47438601357817,94.75577342738913,264.65331748170183
407,407,132,Medium,67.0,214.71641791044777,77.79164206296849,59.13313378451079,370.29970203638476
408,408,132,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
408,408,132,Low,44.0,179.70454545454547,42.47438601357817,94.75577342738913,264.65331748170183
408,408,132,Medium,67.0,214.71641791044777,77.79164206296849,59.13313378451079,370.29970203638476
409,409,132,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
409,409,132,Low,44.0,179.70454545454547,42.47438601357817,94.75577342738913,264.65331748170183
409,409,132,Medium,67.0,214.71641791044777,77.79164206296849,59.13313378451079,370.29970203638476
410,410,134,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
410,410,134,Low,46.0,182.1086956521739,43.130926393878944,95.84684286441602,268.3705484399318
410,410,134,Medium,67.0,214.71641791044777,77.79164206296849,59.13313378451079,370.29970203638476
411,411,135,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
411,411,135,Low,47.0,182.2340425531915,42.66819035399916,96.89766184519318,267.57042326118983
411,411,135,Medium,67.0,214.71641791044777,77.79164206296849,59.13313378451079,370.29970203638476
412,412,137,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
412,412,137,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
412,412,137,Medium,68.0,217.30882352941177,80.1137730817943,57.081277365823155,377.5363696930004
413,413,137,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
413,413,137,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
413,413,137,Medium,68.0,217.30882352941177,80.1137730817943,57.081277365823155,377.5363696930004
414,414,137,High,21.0,243.23809523809524,99.72507446069154,43.78794631671215,442.68824415947836
414,414,137,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
414,414,137,Medium,68.0,217.30882352941177,80.1137730817943,57.081277365823155,377.5363696930004
415,415,138,High,22.0,237.86363636363637,100.53347959501112,36.79667717361414,438.9305955536586
415,415,138,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
415,415,138,Medium,68.0,217.30882352941177,80.1137730817943,57.081277365823155,377.5363696930004
416,416,138,High,22.0,237.86363636363637,100.53347959501112,36.79667717361414,438.9305955536586
416,416,138,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
416,416,138,Medium,68.0,217.30882352941177,80.1137730817943,57.081277365823155,377.5363696930004
417,417,139,High,22.0,237.86363636363637,100.53347959501112,36.79667717361414,438.9305955536586
417,417,139,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
417,417,139,Medium,69.0,216.7246376811594,79.67043958006947,57.38375852102047,376.06551684129835
418,418,140,High,23.0,236.82608695652175,98.34801480360585,40.13005734931005,433.52211656373345
418,418,140,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
418,418,140,Medium,69.0,216.7246376811594,79.67043958006947,57.38375852102047,376.06551684129835
419,419,141,High,24.0,241.83333333333334,99.26497988658464,43.30337356016406,440.3632931065026
419,419,141,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
419,419,141,Medium,69.0,216.7246376811594,79.67043958006947,57.38375852102047,376.06551684129835
420,420,141,High,24.0,241.83333333333334,99.26497988658464,43.30337356016406,440.3632931065026
420,420,141,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
420,420,141,Medium,69.0,216.7246376811594,79.67043958006947,57.38375852102047,376.06551684129835
421,421,141,High,24.0,241.83333333333334,99.26497988658464,43.30337356016406,440.3632931065026
421,421,141,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
421,421,141,Medium,69.0,216.7246376811594,79.67043958006947,57.38375852102047,376.06551684129835
422,422,141,High,24.0,241.83333333333334,99.26497988658464,43.30337356016406,440.3632931065026
422,422,141,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
422,422,141,Medium,69.0,216.7246376811594,79.67043958006947,57.38375852102047,376.06551684129835
423,423,142,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
423,423,142,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
423,423,142,Medium,69.0,216.7246376811594,79.67043958006947,57.38375852102047,376.06551684129835
424,424,143,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
424,424,143,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
424,424,143,Medium,70.0,218.77142857142857,80.9236841110408,56.92406034934697,380.61879679351017
425,425,144,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
425,425,144,Low,48.0,180.77083333333334,43.41204832435705,93.94673668461924,267.59492998204746
425,425,144,Medium,71.0,219.94366197183098,80.94846461509474,58.046732741641506,381.84059120202045
426,426,148,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
426,426,148,Low,49.0,182.30612244897958,44.28139379846454,93.7433348520505,270.86891004590865
426,426,148,Medium,74.0,222.6216216216216,82.07776177599045,58.46609806964071,386.77714517360255
427,427,148,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
427,427,148,Low,49.0,182.30612244897958,44.28139379846454,93.7433348520505,270.86891004590865
427,427,148,Medium,74.0,222.6216216216216,82.07776177599045,58.46609806964071,386.77714517360255
428,428,148,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
428,428,148,Low,49.0,182.30612244897958,44.28139379846454,93.7433348520505,270.86891004590865
428,428,148,Medium,74.0,222.6216216216216,82.07776177599045,58.46609806964071,386.77714517360255
429,429,148,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
429,429,148,Low,49.0,182.30612244897958,44.28139379846454,93.7433348520505,270.86891004590865
429,429,148,Medium,74.0,222.6216216216216,82.07776177599045,58.46609806964071,386.77714517360255
430,430,150,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
430,430,150,Low,50.0,182.74,43.93446418083579,94.87107163832843,270.6089283616716
430,430,150,Medium,75.0,224.22666666666666,82.69785011966401,58.83096642733864,389.6223669059947
431,431,151,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
431,431,151,Low,51.0,182.66666666666666,43.496053460821784,95.67455974502309,269.6587735883102
431,431,151,Medium,75.0,224.22666666666666,82.69785011966401,58.83096642733864,389.6223669059947
432,432,152,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
432,432,152,Low,51.0,182.66666666666666,43.496053460821784,95.67455974502309,269.6587735883102
432,432,152,Medium,76.0,225.1184210526316,82.51173122334595,60.094958605939695,390.1418834993235
433,433,153,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
433,433,153,Low,51.0,182.66666666666666,43.496053460821784,95.67455974502309,269.6587735883102
433,433,153,Medium,77.0,225.12987012987014,81.96715495106795,61.195560227734234,389.06418003200605
434,434,153,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
434,434,153,Low,51.0,182.66666666666666,43.496053460821784,95.67455974502309,269.6587735883102
434,434,153,Medium,77.0,225.12987012987014,81.96715495106795,61.195560227734234,389.06418003200605
435,435,157,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
435,435,157,Low,52.0,182.23076923076923,43.18206571479278,95.86663780118367,268.59490066035477
435,435,157,Medium,80.0,227.6,82.62200031897594,62.355999362048124,392.84400063795186
436,436,159,High,25.0,248.72,103.09523105685669,42.52953788628662,454.9104621137134
436,436,159,Low,53.0,182.0188679245283,42.79265329021836,96.43356134409159,267.60417450496504
436,436,159,Medium,81.0,228.19753086419752,82.27992157159096,63.637687721015595,392.75737400737944
437,437,162,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
437,437,162,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
437,437,162,Medium,82.0,228.890243902439,82.01068977259496,64.8688643572491,392.9116234476289
438,438,162,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
438,438,162,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
438,438,162,Medium,82.0,228.890243902439,82.01068977259496,64.8688643572491,392.9116234476289
439,439,162,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
439,439,162,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
439,439,162,Medium,82.0,228.890243902439,82.01068977259496,64.8688643572491,392.9116234476289
440,440,162,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
440,440,162,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
440,440,162,Medium,82.0,228.890243902439,82.01068977259496,64.8688643572491,392.9116234476289
441,441,162,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
441,441,162,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
441,441,162,Medium,82.0,228.890243902439,82.01068977259496,64.8688643572491,392.9116234476289
442,442,164,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
442,442,164,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
442,442,164,Medium,84.0,228.38095238095238,81.66134959917785,65.05825318259667,391.7036515793081
443,443,164,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
443,443,164,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
443,443,164,Medium,84.0,228.38095238095238,81.66134959917785,65.05825318259667,391.7036515793081
444,444,165,High,26.0,252.84615384615384,103.18011138109604,46.48593108396176,459.2063766083459
444,444,165,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
444,444,165,Medium,85.0,229.0235294117647,81.38971159834406,66.24410621507658,391.80295260845287
445,445,166,High,27.0,256.85185185185185,103.29520939956645,50.26143305271896,463.4422706509847
445,445,166,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
445,445,166,Medium,85.0,229.0235294117647,81.38971159834406,66.24410621507658,391.80295260845287
446,446,168,High,28.0,255.14285714285714,101.76687749212584,51.60910215860545,458.6766121271088
446,446,168,Low,54.0,183.09259259259258,43.11514575125129,96.86230109009,269.32288409509516
446,446,168,Medium,86.0,229.03488372093022,80.90960063362196,67.2156824536863,390.8540849881741
447,447,170,High,28.0,255.14285714285714,101.76687749212584,51.60910215860545,458.6766121271088
447,447,170,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
447,447,170,Medium,87.0,230.97701149425288,82.45237906950165,66.07225335524959,395.88176963325617
448,448,172,High,29.0,256.82758620689657,100.34407554777184,56.139435111352896,457.51573730244024
448,448,172,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
448,448,172,Medium,88.0,232.17045454545453,82.73808857437086,66.6942773967128,397.64663169419623
449,449,175,High,30.0,260.56666666666666,100.70327986075051,59.16010694516564,461.9732263881677
449,449,175,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
449,449,175,Medium,90.0,232.2888888888889,81.85397307928261,68.58094273032367,395.9968350474541
450,450,176,High,30.0,260.56666666666666,100.70327986075051,59.16010694516564,461.9732263881677
450,450,176,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
450,450,176,Medium,91.0,232.53846153846155,81.43276813725373,69.67292526395408,395.403997812969
451,451,176,High,30.0,260.56666666666666,100.70327986075051,59.16010694516564,461.9732263881677
451,451,176,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
451,451,176,Medium,91.0,232.53846153846155,81.43276813725373,69.67292526395408,395.403997812969
452,452,177,High,31.0,258.0967741935484,99.96111071768848,58.174552758171444,458.0189956289254
452,452,177,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
452,452,177,Medium,91.0,232.53846153846155,81.43276813725373,69.67292526395408,395.403997812969
453,453,177,High,31.0,258.0967741935484,99.96111071768848,58.174552758171444,458.0189956289254
453,453,177,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
453,453,177,Medium,91.0,232.53846153846155,81.43276813725373,69.67292526395408,395.403997812969
454,454,178,High,31.0,258.0967741935484,99.96111071768848,58.174552758171444,458.0189956289254
454,454,178,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
454,454,178,Medium,92.0,231.52173913043478,81.56915467714734,68.3834297761401,394.6600484847295
455,455,179,High,32.0,258.46875,98.35812916368755,61.7524916726249,455.1850083273751
455,455,179,Low,55.0,184.3272727272727,43.68449786291876,96.95827700143519,271.69626845311024
455,455,179,Medium,92.0,231.52173913043478,81.56915467714734,68.3834297761401,394.6600484847295
456,456,181,High,32.0,258.46875,98.35812916368755,61.7524916726249,455.1850083273751
456,456,181,Low,57.0,186.59649122807016,44.72210209773352,97.15228703260313,276.0406954235372
456,456,181,Medium,92.0,231.52173913043478,81.56915467714734,68.3834297761401,394.6600484847295
457,457,182,High,32.0,258.46875,98.35812916368755,61.7524916726249,455.1850083273751
457,457,182,Low,57.0,186.59649122807016,44.72210209773352,97.15228703260313,276.0406954235372
457,457,182,Medium,93.0,232.29032258064515,81.46252547953266,69.36527162157984,395.21537353971047
458,458,183,High,32.0,258.46875,98.35812916368755,61.7524916726249,455.1850083273751
458,458,183,Low,58.0,186.39655172413794,44.35421206888545,97.68812758636703,275.1049758619088
458,458,183,Medium,93.0,232.29032258064515,81.46252547953266,69.36527162157984,395.21537353971047
459,459,185,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
459,459,185,Low,58.0,186.39655172413794,44.35421206888545,97.68812758636703,275.1049758619088
459,459,185,Medium,94.0,233.36170212765958,81.68650420427244,69.9886937191147,396.7347105362045
460,460,186,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
460,460,186,Low,58.0,186.39655172413794,44.35421206888545,97.68812758636703,275.1049758619088
460,460,186,Medium,95.0,234.58947368421053,82.12736537438093,70.33474293544867,398.8442044329724
461,461,187,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
461,461,187,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
461,461,187,Medium,95.0,234.58947368421053,82.12736537438093,70.33474293544867,398.8442044329724
462,462,187,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
462,462,187,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
462,462,187,Medium,95.0,234.58947368421053,82.12736537438093,70.33474293544867,398.8442044329724
463,463,187,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
463,463,187,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
463,463,187,Medium,95.0,234.58947368421053,82.12736537438093,70.33474293544867,398.8442044329724
464,464,188,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
464,464,188,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
464,464,188,Medium,96.0,235.71875,82.4398604566096,70.83902908678081,400.5984709132192
465,465,189,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
465,465,189,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
465,465,189,Medium,97.0,237.16494845360825,83.23707111973047,70.6908062141473,403.6390906930692
466,466,189,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
466,466,189,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
466,466,189,Medium,97.0,237.16494845360825,83.23707111973047,70.6908062141473,403.6390906930692
467,467,189,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
467,467,189,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
467,467,189,Medium,97.0,237.16494845360825,83.23707111973047,70.6908062141473,403.6390906930692
468,468,189,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
468,468,189,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
468,468,189,Medium,97.0,237.16494845360825,83.23707111973047,70.6908062141473,403.6390906930692
469,469,190,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
469,469,190,Low,59.0,186.22033898305085,43.99101310910978,98.23831276483129,274.2023652012704
469,469,190,Medium,98.0,234.8265306122449,85.98178007790393,62.86297045643704,406.7900907680528
470,470,191,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
470,470,191,Low,60.0,186.41666666666666,43.64311803036568,99.1304306059353,273.702902727398
470,470,191,Medium,98.0,234.8265306122449,85.98178007790393,62.86297045643704,406.7900907680528
471,471,192,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
471,471,192,Low,60.0,186.41666666666666,43.64311803036568,99.1304306059353,273.702902727398
471,471,192,Medium,99.0,234.93939393939394,85.54934346314931,63.84070701309531,406.03808086569256
472,472,194,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
472,472,194,Low,61.0,184.81967213114754,45.0394302053661,94.74081172041534,274.8985325418797
472,472,194,Medium,100.0,234.65,85.16536202523238,64.31927594953524,404.9807240504648
473,473,195,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
473,473,195,Low,61.0,184.81967213114754,45.0394302053661,94.74081172041534,274.8985325418797
473,473,195,Medium,101.0,236.34653465346534,86.43673242824075,63.47306979698385,409.21999950994683
474,474,196,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
474,474,196,Low,61.0,184.81967213114754,45.0394302053661,94.74081172041534,274.8985325418797
474,474,196,Medium,102.0,237.36274509803923,86.61794902547581,64.12684704708761,410.59864314899085
475,475,196,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
475,475,196,Low,61.0,184.81967213114754,45.0394302053661,94.74081172041534,274.8985325418797
475,475,196,Medium,102.0,237.36274509803923,86.61794902547581,64.12684704708761,410.59864314899085
476,476,196,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
476,476,196,Low,61.0,184.81967213114754,45.0394302053661,94.74081172041534,274.8985325418797
476,476,196,Medium,102.0,237.36274509803923,86.61794902547581,64.12684704708761,410.59864314899085
477,477,198,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
477,477,198,Low,61.0,184.81967213114754,45.0394302053661,94.74081172041534,274.8985325418797
477,477,198,Medium,104.0,238.89423076923077,86.53871890261289,65.816792964005,411.97166857445654
478,478,198,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
478,478,198,Low,61.0,184.81967213114754,45.0394302053661,94.74081172041534,274.8985325418797
478,478,198,Medium,104.0,238.89423076923077,86.53871890261289,65.816792964005,411.97166857445654
479,479,199,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
479,479,199,Low,62.0,184.01612903225808,45.114605223165746,93.78691858592659,274.2453394785896
479,479,199,Medium,104.0,238.89423076923077,86.53871890261289,65.816792964005,411.97166857445654
480,480,200,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
480,480,200,Low,62.0,184.01612903225808,45.114605223165746,93.78691858592659,274.2453394785896
480,480,200,Medium,105.0,238.3904761904762,86.27622179306672,65.83803260434274,410.94291977660964
481,481,200,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
481,481,200,Low,62.0,184.01612903225808,45.114605223165746,93.78691858592659,274.2453394785896
481,481,200,Medium,105.0,238.3904761904762,86.27622179306672,65.83803260434274,410.94291977660964
482,482,201,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
482,482,201,Low,62.0,184.01612903225808,45.114605223165746,93.78691858592659,274.2453394785896
482,482,201,Medium,106.0,238.4056603773585,85.86454208055034,66.67657621625781,410.13474453845913
483,483,201,High,33.0,259.24242424242425,96.91105145410091,65.42032133422242,453.0645271506261
483,483,201,Low,62.0,184.01612903225808,45.114605223165746,93.78691858592659,274.2453394785896
483,483,201,Medium,106.0,238.4056603773585,85.86454208055034,66.67657621625781,410.13474453845913
484,484,202,High,34.0,262.70588235294116,97.54487061107415,67.61614113079287,457.79562357508945
484,484,202,Low,62.0,184.01612903225808,45.114605223165746,93.78691858592659,274.2453394785896
484,484,202,Medium,106.0,238.4056603773585,85.86454208055034,66.67657621625781,410.13474453845913
485,485,203,High,35.0,267.1142857142857,99.5757977412098,67.9626902318661,466.2658811967053
485,485,203,Low,62.0,184.01612903225808,45.114605223165746,93.78691858592659,274.2453394785896
485,485,203,Medium,106.0,238.4056603773585,85.86454208055034,66.67657621625781,410.13474453845913
486,486,204,High,35.0,267.1142857142857,99.5757977412098,67.9626902318661,466.2658811967053
486,486,204,Low,63.0,183.95238095238096,44.75215928163315,94.44806238911467,273.45669951564724
486,486,204,Medium,106.0,238.4056603773585,85.86454208055034,66.67657621625781,410.13474453845913
487,487,205,High,35.0,267.1142857142857,99.5757977412098,67.9626902318661,466.2658811967053
487,487,205,Low,63.0,183.95238095238096,44.75215928163315,94.44806238911467,273.45669951564724
487,487,205,Medium,107.0,239.3177570093458,85.97779420762271,67.36216859410038,411.2733454245912
488,488,208,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
488,488,208,Low,65.0,183.4923076923077,44.2037622398122,95.08478321268329,271.8998321719321
488,488,208,Medium,107.0,239.3177570093458,85.97779420762271,67.36216859410038,411.2733454245912
489,489,209,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
489,489,209,Low,66.0,183.42424242424244,43.86590075921444,95.69244090581356,271.1560439426713
489,489,209,Medium,107.0,239.3177570093458,85.97779420762271,67.36216859410038,411.2733454245912
490,490,209,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
490,490,209,Low,66.0,183.42424242424244,43.86590075921444,95.69244090581356,271.1560439426713
490,490,209,Medium,107.0,239.3177570093458,85.97779420762271,67.36216859410038,411.2733454245912
491,491,209,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
491,491,209,Low,66.0,183.42424242424244,43.86590075921444,95.69244090581356,271.1560439426713
491,491,209,Medium,107.0,239.3177570093458,85.97779420762271,67.36216859410038,411.2733454245912
492,492,211,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
492,492,211,Low,66.0,183.42424242424244,43.86590075921444,95.69244090581356,271.1560439426713
492,492,211,Medium,109.0,240.43119266055047,85.64314062741599,69.14491140571849,411.71747391538247
493,493,211,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
493,493,211,Low,66.0,183.42424242424244,43.86590075921444,95.69244090581356,271.1560439426713
493,493,211,Medium,109.0,240.43119266055047,85.64314062741599,69.14491140571849,411.71747391538247
494,494,212,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
494,494,212,Low,67.0,183.50746268656715,43.5376441555582,96.43217437545076,270.58275099768355
494,494,212,Medium,109.0,240.43119266055047,85.64314062741599,69.14491140571849,411.71747391538247
495,495,212,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
495,495,212,Low,67.0,183.50746268656715,43.5376441555582,96.43217437545076,270.58275099768355
495,495,212,Medium,109.0,240.43119266055047,85.64314062741599,69.14491140571849,411.71747391538247
496,496,213,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
496,496,213,Low,67.0,183.50746268656715,43.5376441555582,96.43217437545076,270.58275099768355
496,496,213,Medium,110.0,241.6,86.12623549399436,69.34752901201128,413.8524709879887
497,497,215,High,36.0,269.19444444444446,98.93340312537653,71.3276381936914,467.0612506951975
497,497,215,Low,68.0,183.25,43.263639899035695,96.72272020192861,269.7772797980714
497,497,215,Medium,111.0,242.19819819819818,85.9651958981942,70.26780640180979,414.1285899945866
498,498,216,High,37.0,271.81081081081084,98.83933029524843,74.13215022031397,469.4894714013077
498,498,216,Low,68.0,183.25,43.263639899035695,96.72272020192861,269.7772797980714
498,498,216,Medium,111.0,242.19819819819818,85.9651958981942,70.26780640180979,414.1285899945866
499,499,218,High,38.0,272.55263157894734,97.6016995223156,77.34923253431614,467.75603062357857
499,499,218,Low,68.0,183.25,43.263639899035695,96.72272020192861,269.7772797980714
499,499,218,Medium,112.0,240.54464285714286,87.34800320978243,65.848636437578,415.2406492767077
500,500,218,High,38.0,272.55263157894734,97.6016995223156,77.34923253431614,467.75603062357857
500,500,218,Low,68.0,183.25,43.263639899035695,96.72272020192861,269.7772797980714
